257,,LC MAYO 27ML,3,133
258,,LC MAYO 80ML,3,33
259,,LC MAYO 3.5,3,1160
260,,BF W MAYO 3.5,3,422
261,,SEAS 250ML,3,90
262,,SEAS 500ML,3,150
263,,SEAS 1L,3,284
264,,CRAB N CORN 55G,3,52
265,,CRM OF MUSH 60G,3,52
266,,CHCKN CUBES X6 60G,3,34
267,,BEEF CUBES X6 60G,3,34
268,,PORK CUBES X6 60G,3,34
269,,CHCKN CUBES SINGLES,3,70
270,,BEEF CUBES SINGLES,3,70
271,,PORK CUBES SINGLES,3,70
272,,SHRIMP SINGLES,3,70
273,,SINIGANG 11G,3,77
274,,SINIGANG LITRO 22G,3,167
275,,SINIGANG 2LITRO 44G,3,
276,,GABI LITRO,3,170
277,,MISO LITRO,3,173
278,,SURF POWDER ,3,71
279,,CREAMSILK,3,74
280,,SUNSILK,3,70
281,,DOVE SH,3,63
283,,BREEZE,3,150
257,,LC MAYO 27ML,8,780.00
258,,LC MAYO 80ML,8,2320.00
259,,LC MAYO 3.5,8,4550.00
260,,BF W MAYO 3.5,8,1655.00
261,,SEAS 250ML,8,2115.00
262,,SEAS 500ML,8,1755.00
263,,SEAS 1L,8,1670.00
264,,CRAB N CORN 55G,8,3060.00
265,,CRM OF MUSH 60G,8,3060.00
269,,CHCKN CUBES SINGLES,8,3280.00
270,,BEEF CUBES SINGLES,8,3280.00
271,,PORK CUBES SINGLES,8,3280.00
272,,SHRIMP SINGLES,8,3280.00
273,,SINIGANG 11G,8,1815.00
274,,SINIGANG LITRO 22G,8,1965.00
276,,GABI LITRO,8,2000.00
277,,MISO LITRO,8,2040.00
278,,SURF POWDER ,8,1670.00
279,,CREAMSILK,8,1740.00
280,,SUNSILK,8,1640.00
281,,DOVE SH,8,1470.00
283,,BREEZE,8,1760.00
284,,TOMATO SAUCE FILIPINO 900g,3,80.00
285,,TOMATO SAUCE FILIPINO 250g,3,23.50
286,,TOMATO SAUCE FILIPINO 200G,3,20.00
287,,TOMATO SAUCE ORIGINAL 115G,3,18.50
288,,TOMATO SAUCE FILIPINO 90G,3,12.00
289,,SS FIL 900g,3,89.00
290,,SS SWEET 1K,3,95.00
291,,SS ITALIAN 900g,3,95.00
292,,TOM PASTE 150g ,3,31.00
293,,TIDBITS 115g,3,15.50
294,,PJ GAL ,3,179.00
295,,PJ 1/2 GAL 46 oz,3,103.00
296,,PJ 530 ML 2T,3,54.00
297,,PJ 202,3,29.00
298,,TODAYS GAL,3,250.00
299,,TODAYS 836g,3,84.00
300,,FIESTA GAL,3,283.00
301,,FIESTA 836g,3,87.00
302,,CHUNKS FLAT,3,33.00
303,,CHUNKS 822g,3,95.00
304,,TIDBITS FLAT,3,33.00
305,,CRUSHED FLAT,3,33.00
306,,KIKKOMAN LITER SOY,3,240.00
284,,TOMATO SAUCE FILIPINO 900g,8,910.00
285,,TOMATO SAUCE FILIPINO 250g,8,1050.00
286,,TOMATO SAUCE FILIPINO 200G,8,900.00
287,,TOMATO SAUCE ORIGINAL 115G,8,820.00
288,,TOMATO SAUCE FILIPINO 90G,8,540.00
289,,SS FIL 900g,8,1025.00
290,,SS SWEET 1K,8,1100.00
291,,SS ITALIAN 900g,8,1100.00
292,,TOM PASTE 150g ,8,1380.00
293,,TIDBITS 115g,8,690.00
294,,PJ GAL ,8,1030.00
295,,PJ 1/2 GAL 46 oz,8,1180.00
296,,PJ 530 ML 2T,8,1230.00
297,,PJ 202,8,660.00
298,,TODAYS GAL,8,1440.00
299,,TODAYS 836g,8,1940.00
300,,FIESTA GAL,8,1640.00
301,,FIESTA 836g,8,2000.00
302,,CHUNKS FLAT,8,750.00
303,,CHUNKS 822g,8,2180.00
304,,TIDBITS FLAT,8,750.00
305,,CRUSHED FLAT,8,750.00
306,,KIKKOMAN LITER SOY,8,2800.00
308,,GOLD CUP OYSTER,3,160
309,,BREAD CRUMBS 230g,3,27
310,,BREAD CREUMS 1K,3,100
312,,CHEESEMISS POWDER,3,128
316,,HYCO CHILI POWDER,3,330
317,,HYCO GARLIC POWDER,3,350
318,,HYCO ONION POWDER,3,300
319,,HYCO CURRY POWDER,3,365
320,,HYCO FOOD COLOR,3,85
321,,VINAMILK KILO,3,96
322,,VINAMILK SMALL,3,38
323,,BREAD CRUMBS 80g,3,12
